               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 135,            0.018027,            0.005243,                   0,             0.98531,             0.99433,              0.9918,             0.85619,            0.012158,           0.0030426,                   0,           0.0088945,           0.0088945,           0.0088945
                 136,            0.018196,           0.0051767,                   0,              0.9852,             0.99421,             0.99182,             0.85645,            0.012143,             0.00304,                   0,           0.0088863,           0.0088863,           0.0088863
                 137,            0.018006,           0.0052506,                   0,              0.9853,             0.99433,             0.99178,             0.85653,            0.012125,            0.003037,                   0,            0.008878,            0.008878,            0.008878
                 138,            0.018145,           0.0052202,                   0,             0.98538,             0.99409,              0.9918,             0.85667,             0.01211,           0.0030342,                   0,           0.0088698,           0.0088698,           0.0088698
                 139,            0.017915,           0.0051881,                   0,             0.98534,              0.9941,             0.99183,             0.85689,            0.012093,           0.0030314,                   0,           0.0088615,           0.0088615,           0.0088615
                 140,             0.01832,           0.0052521,                   0,             0.98534,             0.99411,             0.99184,             0.85702,            0.012075,            0.003029,                   0,           0.0088533,           0.0088533,           0.0088533
                 141,            0.018296,            0.005307,                   0,             0.98527,             0.99421,             0.99183,             0.85697,            0.012064,           0.0030271,                   0,            0.008845,            0.008845,            0.008845
                 142,             0.01809,           0.0053259,                   0,             0.98535,             0.99437,             0.99188,              0.8571,            0.012052,           0.0030254,                   0,           0.0088368,           0.0088368,           0.0088368
                 143,            0.018142,           0.0052498,                   0,             0.98582,               0.994,             0.99191,             0.85725,            0.012039,            0.003023,                   0,           0.0088285,           0.0088285,           0.0088285
                 144,            0.017924,           0.0052097,                   0,             0.98606,             0.99377,             0.99199,             0.85738,            0.012025,           0.0030213,                   0,           0.0088202,           0.0088202,           0.0088202
